FECHA,DMSO,VAS,DPI,APO
240115,168.21,161.69,117.60,113.42
240115,145.56,95.16,95.21,102.08
240115,124.05,116.99,98.07,114.08
240115,168.65,137.46,105.58,98.12
240115,123.40,121.86,130.61,135.84
240115,135.33,155.85,103.56,115.04
240115,163.13,107.95,142.34,139.22
240115,95.74,136.83,95.25,114.24
240122,254.70,169.83,172.93,188.32
240122,270.21,203.24,136.20,160.66
240122,263.94,168.75,162.33,203.33
240122,260.31,192.11,178.65,142.25
240122,205.16,192.22,169.36,164.36
240122,240.95,216.04,225.35,168.92
240122,223.76,181.67,124.22,196.64
240122,262.26,182.06,136.39,198.80
240122,215.49,242.08,180.24,181.98
240122,279.79,,154.86,180.69
240129,120.65,104.80,,108.26
240129,94.72,77.92,,97.65
240129,121.68,82.21,,83.78
240129,126.48,74.84,,59.65
240129,103.34,98.35,,93.80
240129,101.73,99.50,,68.43
240129,110.36,82.88,,90.67
240129,131.64,114.40,,88.69
240129,78.50,,,93.90
240205,143.04,152.99,160.78,42.87
240205,137.17,173.95,86.52,126.36
240205,169.66,142.80,139.03,170.73
240205,146.67,167.55,103.16,101.17
240205,180.75,144.25,128.38,140.87
240205,191.31,142.43,98.53,115.05
240205,112.66,137.74,116.22,146.01
240205,124.28,138.51,119.05,141.10
240205,163.27,118.55,122.81,151.59
240205,143.96,119.67,,125.47
240212,270.15,,285.33,243.11
240212,413.55,,252.31,263.73
240212,302.59,,149.77,274.28
240212,233.93,,262.08,302.27
240212,338.84,,166.14,254.71
240212,199.33,,197.62,281.34
240212,373.41,,215.87,281.93
240212,246.40,,183.96,207.23
240219,169.61,,,
240219,98.51,,,
240219,129.92,,,
240219,103.06,,,
240219,97.64,,,
240219,149.42,,,
240219,139.59,,,
240219,118.43,,,
240219,118.78,,,
240226,218.84,,,
240226,256.50,,,
