FECHA,DMSO,EUK,TEMPOL,NAC
240115,168.21,,,
240115,145.56,,,
240115,124.05,,,
240115,168.65,,,
240115,123.40,,,
240115,135.33,,,
240115,163.13,,,
240115,95.74,,,
240122,254.70,165.60,228.02,
240122,270.21,201.48,151.98,
240122,263.94,209.23,254.03,
240122,260.31,205.71,140.83,
240122,205.16,239.23,208.86,
240122,240.95,212.47,171.79,
240122,223.76,220.81,145.90,
240122,262.26,176.55,195.88,
240122,215.49,,,
240122,279.79,,,
240129,120.65,88.37,82.45,88.12
240129,94.72,92.74,96.03,84.46
240129,121.68,100.28,64.23,72.37
240129,126.48,104.75,77.42,78.63
240129,103.34,76.94,72.54,64.05
240129,101.73,96.42,143.65,74.50
240129,110.36,101.69,97.42,90.92
240129,131.64,128.65,75.88,
240129,78.50,86.55,101.35,
240205,143.04,178.70,200.87,110.57
240205,137.17,153.99,135.57,155.85
240205,169.66,196.75,138.17,110.62
240205,146.67,201.68,169.69,123.18
240205,180.75,152.66,161.34,144.51
240205,191.31,145.35,110.34,126.26
240205,112.66,151.64,148.55,90.78
240205,124.28,127.84,157.19,101.05
240205,163.27,161.76,121.95,
240205,143.96,116.39,132.81,
240212,270.15,354.18,280.88,245.49
240212,413.55,187.34,260.49,204.51
240212,302.59,213.63,271.43,214.58
240212,233.93,318.17,229.98,212.37
240212,338.84,274.22,239.69,179.00
240212,199.33,231.01,220.44,224.28
240212,373.41,216.82,237.24,235.78
240212,246.40,245.13,230.41,233.70
240219,169.61,103.33,,91.98
240219,98.51,135.62,,72.85
240219,129.92,123.41,,101.10
240219,103.06,139.11,,107.47
240219,97.64,166.15,,86.01
240219,149.42,125.72,,116.57
240219,139.59,120.49,,108.82
240219,118.43,124.69,,88.48
240219,118.78,118.86,,89.29
240226,218.84,,,135.94
240226,256.50,,,122.72
