FECHA,DMSO,VAS,DPI,APO
240115,108.17,79.12,91.29,100.31
240115,89.69,117.49,88.20,117.20
240115,97.87,78.72,77.19,75.07
240115,147.91,96.77,85.28,95.32
240115,86.53,89.97,97.34,113.59
240115,127.47,95.79,96.31,104.19
240115,109.52,91.27,85.06,75.86
240115,133.54,158.68,63.73,88.92
240122,186.55,382.29,150.42,161.76
240122,167.32,148.24,120.04,157.94
240122,143.35,137.64,144.03,177.14
240122,182.01,138.14,150.21,157.82
240122,219.09,172.28,163.15,165.14
240122,156.26,174.61,150.52,176.30
240122,180.26,156.40,155.72,134.59
240122,144.17,159.99,176.12,122.50
240122,225.96,169.68,150.77,119.64
240122,164.33,,127.70,171.86
240129,100.46,88.49,,64.02
240129,97.27,85.37,,79.44
240129,98.31,73.03,,76.51
240129,83.76,94.26,,65.66
240129,90.76,82.21,,99.65
240129,74.04,60.94,,79.62
240129,77.26,84.05,,54.83
240129,104.35,68.12,,90.56
240129,69.97,,,74.35
240205,167.01,98.76,114.52,136.45
240205,118.52,173.24,115.56,101.78
240205,163.18,142.44,95.69,118.13
240205,149.33,134.68,93.64,87.55
240205,108.15,118.33,95.52,98.98
240205,128.58,108.78,114.77,146.40
240205,138.37,103.07,91.91,92.21
240205,161.47,103.57,112.40,105.32
240205,131.19,170.19,116.70,121.89
240205,150.87,101.58,,115.35
240212,234.82,,208.05,207.57
240212,267.87,,218.50,186.51
240212,252.90,,196.22,166.17
240212,305.45,,141.09,203.43
240212,193.88,,148.80,168.69
240212,199.77,,174.33,201.83
240212,233.66,,180.88,189.97
240212,245.16,,134.82,204.66
240219,122.36,,,
240219,111.85,,,
240219,94.78,,,
240219,109.87,,,
240219,91.47,,,
240219,124.41,,,
240219,107.36,,,
240219,94.54,,,
240219,104.84,,,
240226,193.65,,,
240226,149.03,,,
