FECHA,DMSO,EUK,TEMPOL,NAC
240115,108.17,,,
240115,89.69,,,
240115,97.87,,,
240115,147.91,,,
240115,86.53,,,
240115,127.47,,,
240115,109.52,,,
240115,133.54,,,
240122,186.55,121.77,154.44,
240122,167.32,142.12,134.68,
240122,143.35,127.59,135.44,
240122,182.01,165.76,169.97,
240122,219.09,137.94,146.09,
240122,156.26,155.96,163.29,
240122,180.26,172.52,207.87,
240122,144.17,140.48,210.86,
240122,225.96,,,
240122,164.33,,,
240129,100.46,92.59,75.08,60.58
240129,97.27,78.67,83.75,65.85
240129,98.31,109.26,72.77,43.19
240129,83.76,82.69,104.80,61.82
240129,90.76,84.51,72.11,58.39
240129,74.04,69.39,77.54,60.30
240129,77.26,62.66,58.11,70.52
240129,104.35,72.41,76.92,
240129,69.97,80.05,67.35,
240205,167.01,116.05,100.88,97.25
240205,118.52,139.46,108.60,84.07
240205,163.18,115.36,80.68,79.04
240205,149.33,104.14,128.96,111.90
240205,108.15,137.21,145.17,84.39
240205,128.58,142.18,150.09,91.75
240205,138.37,97.01,141.46,88.78
240205,161.47,170.73,124.93,117.62
240205,131.19,146.80,119.70,
240205,150.87,120.60,142.82,
240212,234.82,276.88,238.57,314.66
240212,267.87,240.34,209.73,199.28
240212,252.90,234.36,208.16,147.93
240212,305.45,233.86,227.51,186.64
240212,193.88,184.20,192.68,197.38
240212,199.77,183.51,176.30,156.18
240212,233.66,233.43,211.51,159.40
240212,245.16,254.72,242.10,182.08
240219,122.36,104.35,,67.55
240219,111.85,80.08,,67.01
240219,94.78,95.75,,69.24
240219,109.87,78.87,,83.46
240219,91.47,85.97,,85.61
240219,124.41,72.66,,93.49
240219,107.36,98.98,,93.37
240219,94.54,107.56,,90.27
240219,104.84,93.89,,83.88
240226,193.65,,,120.02
240226,149.03,,,118.31
